ticker,name,listed_date,sic_code,market_cap,weighted_shares
AGYS,"Agilysys, Inc. Common Stock (DE)",1990-03-26,7373,963754377.12,24737022.0
AHCO,AdaptHealth Corp. Common Stock,2018-04-16,8082,2291642928.355,134289067.0
AHH,"Armada Hoffler Properties, Inc.",2013-05-08,6500,858528551.3199999,67707299.0
AHPA,Avista Public Acquisition Corp. II Class A Ordinary Shares,2021-09-30,8731,289800000.0,28750000.0
AHPI,Allied Healthcare Products,1992-01-13,3842,7485246.505,4013537.0
AHRN,Ahren Acquisition Corp. Class A Ordinary Shares,2022-02-04,6770,371997520.0,37499750.0
AHT,"Ashford Hospitality Trust, Inc.",2003-08-26,6798,200323338.6,34479060.0
AI,"C3.ai, Inc.",2020-12-09,7372,1745277292.19,106225033.0
AIB,AIB Acquisition Corporation Class A Ordinary Shares,2022-02-23,6770,111734594.25,11252225.0
AIG,"American International Group, Inc.",1984-10-10,6331,41047427029.18,792191972.0
AIHS,Senmiao Technology Limited Common Stock,2018-03-16,6199,5960903.9184,6178383.0
AIKI,AIkido Pharma Inc. Common Stock,1978-01-01,8731,27523388.200000003,5252555.0
AIM,AIM ImmunoTech Inc.,1995-11-02,2836,38924350.7022,48048822.0
AIMC,Altra Industrial Motion Corp.,2006-12-15,3569,2422150181.31,65059097.0
AIN,Albany International Corp Class A,1987-09-30,2221,2487870000.0,31500000.0
AINC,Ashford Inc.,2014-11-07,8742,51006868.327999994,3107560.0
AINV,Apollo Investment Corporation,2004-04-06,,702665529.5999999,63647240.0
AIP,"Arteris, Inc. Common Stock",2021-10-27,3674,228684450.04,31939169.0
AIR,AAR Corp.,1980-11-17,3720,1512401210.69,35196677.0
AIRC,Apartment Income REIT Corp.,2020-12-03,6798,6159775408.92,157097052.0
AIRG,"Airgain, Inc. Common Stock",2016-08-12,3663,86659452.18,10189236.0
AIRI,Air Industries Group,2000-10-05,3728,22250783.97,32247513.0
AIRS,"AirSculpt Technologies, Inc. Common Stock",2021-10-29,8011,427872784.26000005,55640154.0
AIRT,Air T Inc,1984-04-02,4513,46232634.71,2876953.0
AIT,"Applied Industrial Technologies, Inc.",1984-01-01,5080,3749453073.0,38444100.0
AIV,Apartment Investment and Management Company,2020-12-15,6798,903885124.16,152683298.0
AIZ,"Assurant, Inc.",2004-02-05,6399,9493553565.81,54085077.0
AJG,Arthur J. Gallagher & Co.,1987-12-01,6411,31903027160.0,210068000.0
AJRD,"Aerojet Rocketdyne Holdings, Inc.",1992-02-01,3760,3049346380.0800004,80468304.0
AJX,Great Ajax Corp.,2015-02-13,6798,227897717.34,23183898.0
AKA,a.k.a. Brands Holding Corp.,2021-09-22,5961,402689946.55,128654935.0
AKAM,Akamai Technologies Inc,1999-10-29,7389,14289604904.02,160305193.0
AKAN,Akanda Corp. Common Shares,2022-03-15,,24205527.469800003,28909026.0
AKBA,"Akebia Therapeutics, Inc.",2014-03-20,2834,64989061.8575,183533075.0
AKIC,Sports Ventures Acquisition Corp. Class A Ordinary Shares,2021-02-26,7812,290864900.0,29410000.0
AKR,Acadia Realty Trust,1993-05-27,6798,1514841387.82,94885148.0
AKRO,"Akero Therapeutics, Inc. Common Stock",2019-06-20,2834,275280269.1,35022935.0
AKTS,"AKOUSTIS TECHNOLOGIES, INC.",2014-07-04,3661,188314815.27,55962798.0
AKU,Akumin Inc. Common Shares,2017-12-18,8071,70709093.6187,89516513.0
AKUS,"Akouos, Inc. Common Stock",2020-06-26,2834,137514315.9384,34626156.0
AKYA,"Akoya BioSciences, Inc. Common Stock",2021-04-16,3826,379842453.27500004,37589555.0
AL,Air Lease Corporation,2011-04-19,7359,3506449642.13,110858351.0
ALB,Albemarle Corporation,1994-02-22,2821,26124328204.44,117112692.0
ALBO,"Albireo Pharma, Inc. Common Stock",2007-05-11,2834,364315296.59,19576319.0
ALC,Alcon Inc. Ordinary Shares,2019-04-09,,32125201604.55,490086981.0
ALCC,AltC Acquisition Corp.,2021-07-08,6770,619675500.0,63950000.0
ALCO,Alico Inc,1990-01-02,0100,291925091.74,7564786.0
ALDX,"Aldeyra Therapeutics, Inc.",2014-05-02,2834,198808084.31,58301491.0
ALE,"ALLETE, Inc.",1972-06-01,4931,3239135624.8229,56988809.0
ALEC,"Alector, Inc. Common Stock",2019-02-07,2836,657792106.78,82326922.0
ALEX,"Alexander & Baldwin, Inc.",2012-06-14,6798,1307883150.18,72680364.0
ALF,"ALFI, Inc. Common Stock",2021-05-04,7370,17519279.057,16094882.0
